[-18.7424983978271, 20.1868572235107, -1.57091045379639]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.3125343322754, 20.5875930786133, -2.00395274162292]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.3161563873291, 20.8560428619385, -1.98333120346069]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.1855278015137, 20.1334743499756, -1.60456931591034]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-20.3568592071533, 20.8234844207764, -2.01581954956055]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.9485416412354, 20.1294765472412, -1.8121337890625]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.0268230438232, 20.464485168457, -1.66977667808533]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-18.4584884643555, 20.957727432251, -1.93662250041962]::(265.0, 108.0, 127.0, 169.0)::(68.0, 8.0)->(2, 0)
[-19.8973693847656, 20.6442203521729, -2.19234323501587]::(265.0, 108.0, 127.0, 169.0)::(90.0, 8.0)->(3, 0)
[-18.9784278869629, 20.1170330047607, -1.79830574989319]::(265.0, 108.0, 127.0, 169.0)::(90.0, 8.0)->(3, 0)
[-19.8276138305664, 20.6906070709229, -2.06771421432495]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-18.7666149139404, 19.9843845367432, -2.02286410331726]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-18.899263381958, 21.1288528442383, -2.25394749641418]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-18.8183517456055, 20.625452041626, -2.15270757675171]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-18.4010372161865, 20.6855659484863, -1.95331799983978]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-18.4153022766113, 20.882905960083, -2.29875445365906]::(265.0, 108.0, 127.0, 169.0)::(90.0, 8.0)->(3, 0)
[-18.6387481689453, 20.3611297607422, -2.10718202590942]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-18.6742305755615, 20.7472591400146, -2.37645530700684]::(265.0, 108.0, 127.0, 169.0)::(95.0, 8.0)->(3, 0)
[-19.0203666687012, 20.9873218536377, -2.70917177200317]::(265.0, 111.0, 127.0, 169.0)::(128.0, 8.0)->(4, 0)
[-19.2787914276123, 20.7419509887695, -2.52880764007568]::(265.0, 111.0, 127.0, 169.0)::(133.0, 8.0)->(4, 0)
[-18.8932800292969, 21.3421382904053, -2.78866291046143]::(265.0, 111.0, 127.0, 169.0)::(128.0, 8.0)->(4, 0)
[-18.4003295898438, 21.0464115142822, -2.4780330657959]::(265.0, 111.0, 127.0, 169.0)::(128.0, 8.0)->(4, 0)
[-18.7266807556152, 21.1550483703613, -2.68497180938721]::(265.0, 111.0, 127.0, 169.0)::(128.0, 8.0)->(4, 0)
[-19.1462650299072, 21.1979389190674, -2.79318571090698]::(265.0, 111.0, 127.0, 169.0)::(128.0, 8.0)->(4, 0)
[-19.6809711456299, 21.119140625, -2.86604022979736]::(265.0, 111.0, 127.0, 169.0)::(128.0, 8.0)->(4, 0)
[-19.0819034576416, 20.8158340454102, -2.5676953792572]::(265.0, 111.0, 127.0, 169.0)::(133.0, 8.0)->(4, 0)
[-19.0656147003174, 21.473783493042, -2.77579998970032]::(265.0, 111.0, 127.0, 169.0)::(133.0, 8.0)->(4, 0)
[-20.1029529571533, 21.2013397216797, -2.84661769866943]::(265.0, 111.0, 127.0, 169.0)::(133.0, 8.0)->(4, 0)
