[-16.3625068664551, -10.5264835357666, 2.10166931152344]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-17.430793762207, -10.5531187057495, 2.30588150024414]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-16.359504699707, -11.0466995239258, 2.27621746063232]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-17.8150978088379, -10.6817302703857, 2.35690474510193]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-16.6807136535645, -10.8693380355835, 2.30139327049255]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.0205936431885, -10.7936983108521, 2.24853134155273]::(250.0, 80.0, 143.0, 190.0)::(107.0, 10.0)->(1, 0)
[-17.8817749023438, -10.8835306167603, 2.5339789390564]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.0001964569092, -11.2226858139038, 2.44839072227478]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-16.765567779541, -10.7061672210693, 2.3431978225708]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.5363693237305, -10.7533416748047, 2.46535682678223]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.2356033325195, -10.7944030761719, 2.56395769119263]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-16.5359897613525, -10.6879415512085, 2.15231561660767]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.6370048522949, -10.9478006362915, 2.46097278594971]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-16.9805240631104, -10.5667142868042, 2.28593039512634]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-17.6403560638428, -10.8528022766113, 2.2870306968689]::(250.0, 80.0, 143.0, 190.0)::(110.0, 10.0)->(1, 0)
[-16.7982845306396, -11.7345943450928, 2.49925684928894]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.2031860351562, -10.5905742645264, 2.13813662528992]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-16.8446311950684, -10.8514986038208, 2.4134693145752]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.2969131469727, -10.7903060913086, 2.55774927139282]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.3971500396729, -10.9662017822266, 2.49145984649658]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.5254917144775, -10.3647794723511, 2.58594489097595]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.1275539398193, -11.2144927978516, 2.66053128242493]::(250.0, 80.0, 143.0, 190.0)::(114.0, 10.0)->(1, 0)
[-17.4756374359131, -10.2031927108765, 2.24471163749695]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.1290874481201, -11.2689256668091, 2.47026610374451]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.9425621032715, -10.0890922546387, 2.48845410346985]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.6770534515381, -10.822793006897, 2.49300980567932]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-16.8529243469238, -10.9660930633545, 2.35978937149048]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.162109375, -10.3515024185181, 2.46921873092651]::(250.0, 80.0, 143.0, 190.0)::(96.0, 10.0)->(1, 0)
[-17.2380027770996, -11.7654752731323, 2.49618577957153]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.730770111084, -11.1520576477051, 2.39487981796265]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.3028984069824, -11.2189159393311, 2.27483749389648]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.1918907165527, -10.8728141784668, 2.3316867351532]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.572639465332, -11.0134792327881, 2.42111659049988]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.7208633422852, -11.2805852890015, 2.45361423492432]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-16.7662010192871, -10.4567651748657, 2.05604362487793]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-17.9313411712646, -11.048394203186, 2.46479034423828]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-16.0913829803467, -11.3231153488159, 2.29901957511902]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-16.7044467926025, -11.259635925293, 2.35177326202393]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-16.6398582458496, -11.4417781829834, 2.39616179466248]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-16.3877239227295, -10.6903343200684, 2.21508121490479]::(250.0, 80.0, 143.0, 190.0)::(88.0, 10.0)->(1, 0)
[-17.3686122894287, -11.0035705566406, 2.43523764610291]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.9310722351074, -10.677074432373, 2.24960255622864]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.9664840698242, -10.3666620254517, 2.28107237815857]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.3497104644775, -10.0879764556885, 2.09874129295349]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.2213172912598, -11.2498731613159, 2.41167807579041]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.6200313568115, -10.7798414230347, 2.34943985939026]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.836784362793, -10.4036302566528, 2.15907716751099]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-16.9836292266846, -10.8220624923706, 2.43510007858276]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.5936031341553, -10.991870880127, 2.28379988670349]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.6012916564941, -10.9213724136353, 2.44366979598999]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
[-17.0264434814453, -11.2148771286011, 2.3729727268219]::(250.0, 80.0, 143.0, 190.0)::(92.0, 10.0)->(1, 0)
