[-19.1382884979248, 18.5980339050293, -2.7081573009491]::(241.0, 72.0, 155.0, 206.0)::(69.0, 11.0)->(1, 0)
[-19.1995468139648, 18.4481525421143, -2.43245959281921]::(241.0, 72.0, 155.0, 206.0)::(66.0, 11.0)->(1, 0)
[-19.1206092834473, 18.9836349487305, -2.39872336387634]::(241.0, 78.0, 144.0, 192.0)::(69.0, 11.0)->(1, 0)
[-18.3984794616699, 18.4479789733887, -2.33761239051819]::(240.0, 71.0, 154.0, 205.0)::(69.0, 11.0)->(1, 0)
[-18.3948383331299, 19.0462894439697, -2.42323350906372]::(240.0, 71.0, 154.0, 205.0)::(69.0, 11.0)->(1, 0)
[-18.629056930542, 18.3525371551514, -2.42203617095947]::(246.0, 81.0, 136.0, 181.0)::(69.0, 11.0)->(1, 0)
[-19.3171272277832, 17.9678840637207, -2.40894341468811]::(242.0, 75.0, 151.0, 201.0)::(69.0, 11.0)->(1, 0)
[-19.2465114593506, 17.9314403533936, -2.45838260650635]::(242.0, 75.0, 151.0, 201.0)::(69.0, 11.0)->(1, 0)
[-19.2751407623291, 18.6519393920898, -2.33509016036987]::(242.0, 75.0, 151.0, 201.0)::(69.0, 11.0)->(1, 0)
[-18.4327487945557, 18.6978492736816, -2.5459418296814]::(245.0, 78.0, 142.0, 189.0)::(69.0, 11.0)->(1, 0)
[-18.1290912628174, 18.5025253295898, -2.73467302322388]::(239.0, 71.0, 154.0, 205.0)::(69.0, 11.0)->(1, 0)
[-18.6835193634033, 18.7936248779297, -2.43178248405457]::(244.0, 75.0, 145.0, 193.0)::(69.0, 11.0)->(1, 0)
[-18.249885559082, 19.5970249176025, -2.38208055496216]::(241.0, 71.0, 158.0, 210.0)::(69.0, 11.0)->(1, 0)
[-18.8798046112061, 18.6260623931885, -2.28638243675232]::(241.0, 71.0, 158.0, 210.0)::(69.0, 11.0)->(1, 0)
[-17.5138149261475, 18.8869228363037, -2.41136336326599]::(244.0, 76.0, 143.0, 190.0)::(69.0, 11.0)->(1, 0)
[-19.4623031616211, 18.9813747406006, -2.86639976501465]::(241.0, 72.0, 153.0, 204.0)::(66.0, 11.0)->(1, 0)
[-18.8961868286133, 19.2852478027344, -2.56298017501831]::(241.0, 72.0, 153.0, 204.0)::(69.0, 11.0)->(1, 0)
[-19.3191032409668, 18.7151641845703, -2.80002665519714]::(241.0, 72.0, 153.0, 204.0)::(69.0, 11.0)->(1, 0)
[-17.4432716369629, 17.9291687011719, -2.10939979553223]::(241.0, 72.0, 153.0, 204.0)::(72.0, 11.0)->(1, 0)
[-19.401985168457, 19.0183277130127, -2.39696335792542]::(241.0, 72.0, 153.0, 204.0)::(69.0, 11.0)->(1, 0)
[-18.39306640625, 18.5819282531738, -2.4829216003418]::(243.0, 76.0, 145.0, 193.0)::(72.0, 11.0)->(1, 0)
[-19.0762519836426, 18.7006874084473, -2.68773818016052]::(240.0, 71.0, 154.0, 205.0)::(69.0, 11.0)->(1, 0)
[-19.5940685272217, 18.9321098327637, -2.56663680076599]::(240.0, 71.0, 154.0, 205.0)::(69.0, 11.0)->(1, 0)
[-18.6915531158447, 19.398983001709, -2.49700689315796]::(240.0, 71.0, 154.0, 205.0)::(69.0, 11.0)->(1, 0)
[-18.0116062164307, 17.8288097381592, -2.31300330162048]::(244.0, 77.0, 140.0, 186.0)::(69.0, 11.0)->(1, 0)
[-19.6027297973633, 18.8912334442139, -2.74152302742004]::(241.0, 72.0, 152.0, 202.0)::(72.0, 11.0)->(1, 0)
[-19.5143756866455, 18.9463005065918, -2.68068337440491]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-18.1435680389404, 18.5134353637695, -2.40561604499817]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-18.8693923950195, 18.7447738647461, -2.68069863319397]::(241.0, 72.0, 152.0, 202.0)::(72.0, 11.0)->(1, 0)
[-18.2315883636475, 18.7062549591064, -2.53970742225647]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-19.2216262817383, 18.5824031829834, -2.59532403945923]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-19.1570434570312, 19.4429969787598, -2.64000725746155]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-19.8275699615479, 19.0960826873779, -2.96175980567932]::(241.0, 72.0, 152.0, 202.0)::(72.0, 11.0)->(1, 0)
[-19.3974704742432, 19.3663520812988, -2.84505653381348]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-19.4135189056396, 19.3317737579346, -2.86339163780212]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-18.9067935943604, 18.8787326812744, -2.66547155380249]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-17.9189376831055, 17.9208126068115, -2.2676637172699]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-18.6196422576904, 19.4089946746826, -2.61894130706787]::(241.0, 72.0, 152.0, 202.0)::(66.0, 11.0)->(1, 0)
[-19.0552787780762, 18.611686706543, -2.76446223258972]::(241.0, 72.0, 152.0, 202.0)::(66.0, 11.0)->(1, 0)
[-19.5351657867432, 19.7420616149902, -2.80038261413574]::(241.0, 72.0, 152.0, 202.0)::(69.0, 11.0)->(1, 0)
[-19.5135364532471, 18.1329345703125, -2.52039289474487]::(241.0, 72.0, 152.0, 202.0)::(63.0, 11.0)->(1, 0)
[-18.7948913574219, 18.4315376281738, -2.65847706794739]::(240.0, 73.0, 150.0, 200.0)::(87.0, 11.0)->(2, 0)
[-19.2406158447266, 18.5641479492188, -2.61732983589172]::(240.0, 73.0, 150.0, 200.0)::(87.0, 11.0)->(2, 0)
[-19.0748329162598, 19.6532821655273, -2.77026057243347]::(240.0, 73.0, 150.0, 200.0)::(87.0, 11.0)->(2, 0)
[-18.7723846435547, 19.205940246582, -2.63999152183533]::(240.0, 73.0, 150.0, 200.0)::(87.0, 11.0)->(2, 0)
[-17.6561031341553, 18.7050800323486, -2.39248013496399]::(240.0, 73.0, 150.0, 200.0)::(87.0, 11.0)->(2, 0)
[-18.2322902679443, 19.4414939880371, -2.69566297531128]::(240.0, 73.0, 150.0, 200.0)::(87.0, 11.0)->(2, 0)
[-18.3230209350586, 18.3448162078857, -2.70730304718018]::(238.0, 68.0, 159.0, 212.0)::(87.0, 11.0)->(2, 0)
[-17.7009143829346, 19.263069152832, -2.74142861366272]::(242.0, 74.0, 148.0, 197.0)::(87.0, 11.0)->(2, 0)
[-19.3867435455322, 18.9565048217773, -3.03541827201843]::(240.0, 70.0, 156.0, 208.0)::(87.0, 11.0)->(2, 0)
[-18.6838874816895, 18.0881099700928, -2.56907987594604]::(241.0, 72.0, 148.0, 197.0)::(87.0, 11.0)->(2, 0)
[-18.3590755462646, 19.2372303009033, -2.80970525741577]::(241.0, 72.0, 148.0, 197.0)::(87.0, 11.0)->(2, 0)
[-17.6670722961426, 18.9345703125, -2.55105876922607]::(241.0, 72.0, 148.0, 197.0)::(87.0, 11.0)->(2, 0)
[-18.4507579803467, 18.9317569732666, -2.51956510543823]::(241.0, 72.0, 148.0, 197.0)::(87.0, 11.0)->(2, 0)
[-17.8752899169922, 18.5085144042969, -2.55494689941406]::(245.0, 78.0, 139.0, 185.0)::(87.0, 11.0)->(2, 0)
[-18.6010322570801, 19.4843883514404, -2.58426761627197]::(245.0, 78.0, 139.0, 185.0)::(87.0, 11.0)->(2, 0)
[-18.468563079834, 18.4148654937744, -2.55702781677246]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-17.5332431793213, 18.8613815307617, -2.36462235450745]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-17.6234340667725, 19.3078460693359, -2.33517789840698]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-18.0897998809814, 19.5071182250977, -2.68356084823608]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-18.6396293640137, 18.4912872314453, -2.68289041519165]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-18.1894569396973, 18.5283794403076, -2.62009835243225]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-17.7218589782715, 18.5333938598633, -2.48717498779297]::(245.0, 78.0, 139.0, 185.0)::(84.0, 11.0)->(2, 0)
[-17.9418144226074, 18.4394912719727, -2.52870535850525]::(245.0, 78.0, 139.0, 185.0)::(87.0, 11.0)->(2, 0)
[-18.5132656097412, 19.3526782989502, -2.79995942115784]::(244.0, 74.0, 147.0, 196.0)::(87.0, 11.0)->(2, 0)
[-19.7692394256592, 19.1189384460449, -3.04867935180664]::(244.0, 74.0, 147.0, 196.0)::(87.0, 11.0)->(2, 0)
[-19.8555278778076, 17.8274707794189, -2.96868467330933]::(244.0, 74.0, 147.0, 196.0)::(87.0, 11.0)->(2, 0)
